0.3935 | 0.8531 |     0.0608 |     0.0609 |     0.0607 |     0.0609 |     0.0605 |    0.8536 |    0.8526 |    0.8530 |    0.8530 |    0.8530
0.2241 | 0.9404 |     0.0304 |     0.0303 |     0.0304 |     0.0304 |     0.0304 |    0.9405 |    0.9404 |    0.9404 |    0.9402 |    0.9404
0.1708 | 0.9616 |     0.0209 |     0.0207 |     0.0208 |     0.0209 |     0.0208 |    0.9617 |    0.9619 |    0.9616 |    0.9615 |    0.9614
0.1411 | 0.9715 |     0.0161 |     0.0160 |     0.0161 |     0.0161 |     0.0161 |    0.9714 |    0.9716 |    0.9716 |    0.9714 |    0.9715
0.1213 | 0.9778 |     0.0131 |     0.0131 |     0.0131 |     0.0132 |     0.0131 |    0.9778 |    0.9777 |    0.9779 |    0.9777 |    0.9777
0.1081 | 0.9816 |     0.0113 |     0.0112 |     0.0112 |     0.0113 |     0.0113 |    0.9815 |    0.9817 |    0.9817 |    0.9815 |    0.9817
0.0986 | 0.9840 |     0.0101 |     0.0100 |     0.0100 |     0.0101 |     0.0101 |    0.9840 |    0.9841 |    0.9840 |    0.9839 |    0.9839
0.0922 | 0.9853 |     0.0093 |     0.0093 |     0.0093 |     0.0094 |     0.0094 |    0.9853 |    0.9854 |    0.9854 |    0.9852 |    0.9853
0.0870 | 0.9862 |     0.0087 |     0.0087 |     0.0087 |     0.0088 |     0.0088 |    0.9863 |    0.9863 |    0.9862 |    0.9861 |    0.9861
0.0822 | 0.9873 |     0.0081 |     0.0081 |     0.0081 |     0.0082 |     0.0082 |    0.9873 |    0.9873 |    0.9874 |    0.9872 |    0.9872
0.0782 | 0.9881 |     0.0077 |     0.0076 |     0.0076 |     0.0077 |     0.0077 |    0.9880 |    0.9882 |    0.9882 |    0.9880 |    0.9881
0.0751 | 0.9887 |     0.0074 |     0.0073 |     0.0073 |     0.0074 |     0.0074 |    0.9886 |    0.9888 |    0.9888 |    0.9886 |    0.9888
0.0722 | 0.9893 |     0.0071 |     0.0070 |     0.0070 |     0.0071 |     0.0071 |    0.9892 |    0.9893 |    0.9893 |    0.9892 |    0.9894
0.0699 | 0.9896 |     0.0068 |     0.0067 |     0.0067 |     0.0068 |     0.0068 |    0.9895 |    0.9896 |    0.9897 |    0.9896 |    0.9898
0.0682 | 0.9899 |     0.0066 |     0.0066 |     0.0065 |     0.0066 |     0.0067 |    0.9898 |    0.9899 |    0.9899 |    0.9898 |    0.9899
0.0668 | 0.9902 |     0.0065 |     0.0064 |     0.0064 |     0.0065 |     0.0065 |    0.9901 |    0.9903 |    0.9902 |    0.9901 |    0.9903
0.0656 | 0.9904 |     0.0063 |     0.0063 |     0.0062 |     0.0063 |     0.0063 |    0.9903 |    0.9905 |    0.9904 |    0.9904 |    0.9905
0.0643 | 0.9907 |     0.0062 |     0.0061 |     0.0061 |     0.0062 |     0.0062 |    0.9906 |    0.9908 |    0.9907 |    0.9906 |    0.9908
0.0633 | 0.9909 |     0.0061 |     0.0060 |     0.0060 |     0.0060 |     0.0061 |    0.9908 |    0.9910 |    0.9909 |    0.9907 |    0.9909
0.0625 | 0.9909 |     0.0060 |     0.0059 |     0.0059 |     0.0060 |     0.0060 |    0.9909 |    0.9911 |    0.9910 |    0.9908 |    0.9910
0.0617 | 0.9911 |     0.0059 |     0.0058 |     0.0058 |     0.0059 |     0.0059 |    0.9910 |    0.9913 |    0.9911 |    0.9910 |    0.9912
0.0611 | 0.9912 |     0.0058 |     0.0058 |     0.0058 |     0.0058 |     0.0059 |    0.9911 |    0.9913 |    0.9913 |    0.9912 |    0.9912
0.0604 | 0.9912 |     0.0058 |     0.0057 |     0.0057 |     0.0057 |     0.0058 |    0.9911 |    0.9914 |    0.9912 |    0.9912 |    0.9912
0.0598 | 0.9913 |     0.0057 |     0.0057 |     0.0056 |     0.0057 |     0.0058 |    0.9912 |    0.9914 |    0.9913 |    0.9912 |    0.9914
0.0593 | 0.9914 |     0.0057 |     0.0056 |     0.0056 |     0.0057 |     0.0057 |    0.9912 |    0.9915 |    0.9914 |    0.9913 |    0.9914
0.0588 | 0.9914 |     0.0056 |     0.0056 |     0.0056 |     0.0056 |     0.0057 |    0.9914 |    0.9915 |    0.9914 |    0.9914 |    0.9914
0.0583 | 0.9915 |     0.0056 |     0.0055 |     0.0055 |     0.0056 |     0.0056 |    0.9914 |    0.9916 |    0.9915 |    0.9914 |    0.9914
0.0579 | 0.9916 |     0.0055 |     0.0055 |     0.0055 |     0.0055 |     0.0056 |    0.9916 |    0.9917 |    0.9917 |    0.9916 |    0.9917
0.0575 | 0.9916 |     0.0055 |     0.0055 |     0.0055 |     0.0055 |     0.0055 |    0.9915 |    0.9917 |    0.9916 |    0.9915 |    0.9916
0.0572 | 0.9917 |     0.0055 |     0.0054 |     0.0054 |     0.0055 |     0.0055 |    0.9916 |    0.9919 |    0.9918 |    0.9917 |    0.9917
